1.45	0.25
1.09	0.25
0.48	0.25
0.44	0.25
0.5	0.25
0.48	0.25
0.54	0.25
0.48	0.25
0.6	0.25
3.13	0.25
4.59	0.25
4.24	0.25
3.61	0.25
3.2	0.25
2.67	0.25
1.87	0.25
1	0.25
1.27	0.25
1.14	0.25
1.58	0.25
1.48	0.25
1.61	0.25
1.6	0.25
1.18	0.25
0.99	0.25
0.89	0.25
0.76	0.25
0.64	0.25
0.64	0.25
0.68	0.25
0.76	0.25
0.83	0.25
0.89	0.25
1.28	0.25
1.63	0.25
1.77	0.25
1.84	0.25
2.06	0.25
2.34	0.25
2.18	0.25
1.88	0.25
1.52	0.25
1.49	0.25
1.58	0.25
1.69	0.25
2.24	0.25
2.5	0.25
2.98	0.25
3.71	0.25
4.29	0.25
4.61	0.25
4.89	0.25
5.08	0.25
5.22	0.25
5.32	0.25
5.38	0.25
5.36	0.25
5.34	0.25
5.24	0.25
5.15	0.25
4.83	0.25
4.48	0.25
4.21	0.25
4.05	0.25
4.39	0.25
4.63	0.25
4.72	0.25
4.72	0.25
4.72	0.25
4.72	0.25
4.72	0.25
